time_s,phi_mid,rho,power,fuel_mid,graphite_mid,core_inlet,core_outlet,hx1_hot_outlet,hx1_cold_outlet,hx2_hot_outlet,hx2_cold_outlet,brayton_return
0,0.008712457160785227,0,9853134.883714596,895.6053344235944,1564.94818634759,881.0424178405581,908.5887900566287,881.0388503909103,908.7403822930802,849.334524683474,909.6823281195421,865.9594536914702
1,0.008712456132511879,0,9852974.073547062,895.6037219472576,1564.992269630478,881.0412073445779,908.5867425344549,881.0388793618331,908.7334113104477,849.3322915832116,909.6664631016138,865.9437102531555
2,0.008712366165778737,0,9852711.984534902,895.6023153062429,1565.036194478567,881.0402459542159,908.5849234935525,881.0391543728632,908.7266858791018,849.3301428454881,909.6508186827721,865.9281675136291
3,0.008712302184356015,0,9852478.725130977,895.6011313539307,1565.079966445331,881.0395330704347,908.5833175070749,881.03967479029,908.7202057094587,849.3280788485404,909.6353950802792,865.9128257349983
4,0.008712255183750951,0,9852264.019613203,895.6001837580843,1565.12358943508,881.0438780339656,908.5819135614551,881.040439973759,908.713970502365,849.3260999650282,909.6201925001405,865.8976851687246
5,0.008712218277556281,0,9852058.081695354,895.5994796578576,1565.167066087139,881.0388503909103,908.5807092152526,881.0414492763699,908.7079799157881,849.3242065620434,909.6052111371686,865.8827460556779
6,0.00871218532293634,0,9851855.750091583,895.5990931323943,1565.210397940959,881.0388793618331,908.5797108041269,881.0427020447719,908.7022329821499,849.3245671697374,909.5904511750448,865.8680086261913
7,0.008712154344043432,0,9851655.306793226,895.6002302167079,1565.253587300095,881.0391543728632,908.578929805115,881.04419761926,908.6967276908981,849.3233867723008,909.5759127863838,865.8534731001164
8,0.008712123812770553,0,9851455.226153014,895.6012331166518,1565.29663587207,881.03967479029,908.5783773335667,881.0463031447763,908.6914612124401,849.3215792526854,909.5615961327983,865.8391396868782
9,0.008712093052222794,0,9851254.808620162,895.5998349790184,1565.339539637374,881.040439973759,908.5780669187411,881.0484277095666,908.6864305481862,849.3198598242209,909.5475013649625,865.825008585532
10,0.008712061862772515,0,9851053.749306219,895.5996731445827,1565.382301150707,881.0414492763699,908.5781683741744,881.0506085321574,908.6816332508619,849.3182417140206,909.5336286215253,865.81107998482
11,0.008712030010321711,0,9850851.717848198,895.6003590854509,1565.424922108104,881.0427020447719,908.5792172175225,881.0530214359237,908.6770678902097,849.3167241955405,909.5199780076108,865.7973540632295
12,0.008711997131875593,0,9850648.064938918,895.6013410685317,1565.467402893573,881.04419761926,908.5803522409894,881.0556784319614,908.6727340808687,849.3153063891741,909.5065495539754,865.7838309890494
